Province/State,Country/Region,Lat,Long,14-Mar-20,15-Mar-20,16-Mar-20,17-Mar-20,18-Mar-20,19-Mar-20,20-Mar-20,21-Mar-20,22-Mar-20,23-Mar-20,24-Mar-20,25-Mar-20,26-Mar-20,27-Mar-20,28-Mar-20,29-Mar-20,30-Mar-20,31-Mar-20,01-Apr-20,02-Apr-20,03-Apr-20,04-Apr-20,05-Apr-20,06-Apr-20,07-Apr-20,08-Apr-20,09-Apr-20,10-Apr-20,11-Apr-20,12-Apr-20,13-Apr-20,14-Apr-20,15-Apr-20,16-Apr-20,17-Apr-20,18-Apr-20,19-Apr-20,20-Apr-20,21-Apr-20,22-Apr-20,23-Apr-20,24-Apr-20,25-Apr-20,26-Apr-20,27-Apr-20,28-Apr-20,29-Apr-20,30-Apr-20,01-May-20,02-May-20,03-May-20,04-May-20,05-May-20,06-May-20,07-May-20,08-May-20,09-May-20,10-May-20,11-May-20,12-May-20,13-May-20,14-May-20,15-May-20,16-May-20,17-May-20,18-May-20,19-May-20,20-May-20,21-May-20,22-May-20,23-May-20,24-May-20,25-May-20,26-May-20,27-May-20,28-May-20,29-May-20,30-May-20,31-May-20,01-Jun-20,02-Jun-20,03-Jun-20,04-Jun-20,05-Jun-20,06-Jun-20,07-Jun-20,08-Jun-20,09-Jun-20,10-Jun-20,11-Jun-20,12-Jun-20,13-Jun-20,14-Jun-20,15-Jun-20,16-Jun-20,17-Jun-20,18-Jun-20,19-Jun-20,20-Jun-20,21-Jun-20,22-Jun-20,23-Jun-20,24-Jun-20,25-Jun-20,26-Jun-20,27-Jun-20,28-Jun-20,29-Jun-20,30-Jun-20,01-Jul-20,02-Jul-20,03-Jul-20,04-Jul-20,05-Jul-20,06-Jul-20,07-Jul-20,08-Jul-20,09-Jul-20,10-Jul-20,11-Jul-20,12-Jul-20,13-Jul-20,14-Jul-20,15-Jul-20,16-Jul-20,17-Jul-20,18-Jul-20,19-Jul-20,20-Jul-20,21-Jul-20,22-Jul-20,23-Jul-20,24-Jul-20,25-Jul-20,26-Jul-20,27-Jul-20,28-Jul-20,29-Jul-20,30-Jul-20,31-Jul-20,01-Aug-20,02-Aug-20,03-Aug-20,04-Aug-20,05-Aug-20,06-Aug-20,07-Aug-20,08-Aug-20,09-Aug-20,10-Aug-20,11-Aug-20,12-Aug-20,13-Aug-20,14-Aug-20,15-Aug-20,16-Aug-20,17-Aug-20,18-Aug-20,19-Aug-20,20-Aug-20,21-Aug-20,22-Aug-20,23-Aug-20,24-Aug-20,25-Aug-20,26-Aug-20,27-Aug-20,28-Aug-20
Madhya Pradesh,India,23.473324,77.947998,0,0,0,0,0,0,4,4,6,6,7,15,20,29,39,39,47,66,98,107,154,179,193,256,290,341,411,451,529,562,614,741,938,1164,1310,1402,1407,1485,1552,1587,1687,1846,1945,2090,2165,2387,2560,2625,2715,2788,2837,2942,3049,3138,3252,3341,3457,3614,3785,3986,4173,4426,4595,4790,4977,5236,5465,5735,5981,6170,6371,6665,6859,7024,7261,7453,7645,7891,8089,8283,8420,8588,8762,8996,9228,9401,9638,9849,10049,10241,10443,10641,10802,10935,11083,11244,11426,11582,11724,11903,12078,12261,12448,12595,12798,12965,13186,13370,13593,13861,14106,14297,14604,14930,15284,15627,16036,16341,16657,17201,17632,18207,19005,19643,20378,21082,21763,22600,23310,24095,24842,25474,26210,26926,27800,28589,29217,30134,30968,31806,32614,33535,34285,35082,35734,36564,37298,38157,39025,39891,40734,41604,42618,43414,44433,45455,46385,47375,48351,49493,50640,51866,53129,54421,55777,56841,58158,59410
Maharashtra,India,25.57049217,91.8800142,14,32,38,41,44,48,52,64,74,97,107,122,125,156,186,203,220,302,335,423,487,635,747,868,1018,1135,1364,1574,1761,1982,2334,2680,2916,3201,3321,3648,4200,4666,5218,5649,6427,6817,7628,8068,8590,9318,9915,10498,11506,12296,12974,14541,15525,16758,17974,19063,20228,22171,23401,24427,25922,27524,29100,30706,33053,35058,37136,39297,41642,44582,47190,50231,52667,54758,56948,59546,62228,65168,67655,70013,72300,74860,77793,80229,82968,85975,88529,90787,94041,97648,101141,104568,107958,110744,113445,116752,120504,124331,128205,132075,135796,139010,142899,147741,152765,159133,164626,169883,174761,180298,186626,192990,200064,206619,211987,217121,223724,230599,238461,246600,254427,260924,267665,275640,284281,292589,300937,310455,318695,327031,337607,347502,357117,366368,375799,383723,391440,400651,411798,422118,431719,441228,450196,457956,468265,479779,490262,503084,515332,524513,535601,548313,560126,572734,584754,595865,604358,615477,628642,643289,657450,671942,682383,693398,703823,718711,733568,747995
Manipur,India,24.79997072,93.95001705,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,7,7,7,9,25,25,26,29,32,36,39,44,55,59,60,71,83,89,108,124,132,157,172,272,304,311,366,385,449,458,490,500,552,606,681,777,841,898,921,970,1056,1075,1092,1185,1227,1234,1260,1279,1316,1325,1366,1390,1430,1435,1450,1582,1593,1609,1626,1672,1700,1764,1800,1891,1911,1925,2015,2060,2115,2146,2176,2235,2286,2317,2458,2505,2621,2756,2831,2920,3018,3093,3217,3466,3635,3753,3853,3941,3982,4112,4198,4390,4569,4687,4765,4876,4925,5049,5132,5246,5362,5444,5585,5725,5843
Meghalaya,India,19.601194,75.552979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,9,9,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,15,20,20,21,27,27,27,28,30,33,33,33,33,36,39,43,44,44,44,44,44,44,44,43,43,43,43,43,45,46,46,46,48,48,50,51,53,55,58,62,70,72,88,94,100,113,186,262,295,316,318,337,377,403,418,450,469,490,514,534,587,646,702,738,779,784,803,823,856,874,902,917,939,990,1006,1023,1062,1115,1142,1179,1193,1228,1292,1374,1418,1457,1535,1661,1718,1811,1917,1976,2018,2050,2130,2202
Mizoram,India,23.71039899,92.72001461,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,14,17,24,24,34,42,88,93,102,104,110,112,117,121,121,130,130,140,141,142,142,145,145,147,150,151,151,160,160,162,162,164,186,197,198,203,203,226,227,231,233,238,238,272,282,284,284,297,297,317,326,332,361,361,361,384,395,408,408,413,470,496,502,505,538,559,567,608,620,623,648,649,657,713,777,789,815,860,874,895,903,918,918,953,967,974,1003
Nagaland,India,25.6669979,94.11657019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,18,25,36,43,43,49,58,80,107,107,116,122,127,128,130,156,163,173,177,179,193,193,198,201,211,280,330,347,355,371,387,415,451,459,501,535,539,563,590,625,644,657,673,732,748,774,845,896,902,916,956,978,988,1021,1030,1084,1174,1239,1289,1339,1385,1460,1513,1566,1693,1831,1935,2129,2405,2498,2580,2657,2688,2781,3011,3031,3118,3168,3322,3340,3394,3455,3520,3558,3583,3619,3635,3686,3714,3752,3778,3784,3805
Odisha,India,20.94092,84.803467,0,0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,4,5,5,20,21,39,40,42,42,48,50,54,54,55,60,60,60,60,61,61,74,79,83,89,94,100,103,118,118,125,143,154,160,162,169,177,205,219,270,352,377,415,437,538,672,737,737,828,876,978,1052,1103,1189,1269,1336,1438,1517,1593,1660,1723,1819,1948,2104,2245,2388,2478,2608,2781,2856,2994,3140,3250,3386,3498,3723,3909,4055,4163,4338,4512,4677,4856,5160,5303,5470,5752,5962,6180,6350,6614,6859,7065,7316,7545,8106,8601,9070,9526,10097,10624,11201,11956,12526,13121,13737,14280,14898,15392,16110,16701,17437,18110,18757,19835,21099,22693,24013,25389,26892,28107,29175,30378,31877,33479,34913,36297,37681,39018,40717,42550,44193,45927,47455,48796,50672,52653,54630,57126,60050,62294,64533,67122,70020,72718,75537,78530,81479,84231,87602,90986,94668
Puducherry,India,31.51997398,75.98000281,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,10,10,12,12,12,13,16,16,17,17,17,22,23,23,26,26,41,49,49,49,53,57,57,70,79,79,90,99,104,107,119,128,132,144,157,163,176,194,202,216,245,271,287,338,366,383,402,461,502,534,619,648,690,714,739,802,824,904,946,1011,1043,1153,1202,1274,1339,1420,1470,1533,1598,1745,1834,1892,2001,2094,2181,2302,2422,2517,2656,2789,2874,3013,3179,3300,3474,3608,3808,3984,4149,4435,4623,4864,5125,5384,5626,5902,6383,6682,6997,7356,7734,8031,8398,8754,9294,9596,10114,10524,10861,11428,11932,12436,13026
Punjab,India,11.93499371,79.83000037,1,1,1,1,2,2,3,13,21,23,29,31,33,38,38,38,41,42,46,47,53,65,68,79,99,106,130,151,158,170,176,184,186,197,211,234,244,245,251,278,283,298,308,322,330,342,375,480,585,772,1102,1232,1451,1526,1644,1731,1762,1823,1877,1914,1924,1935,1932,1946,1964,1980,2002,2005,2028,2029,2045,2060,2081,2106,2139,2158,2197,2233,2263,2301,2342,2376,2415,2461,2515,2608,2663,2719,2805,2887,2986,3063,3140,3267,3371,3497,3615,3832,3952,4074,4235,4397,4627,4769,4957,5056,5216,5418,5568,5668,5784,5937,6109,6283,6491,6749,6907,7140,7357,7587,7821,8178,8511,8799,9094,9442,9792,10100,10510,10889,11301,11739,12216,12684,13218,13769,14378,14946,15456,16119,17063,17853,18527,19015,19856,20891,21930,22928,23903,24889,25889,26909,27936,29013,30041,31206,32695,34400,36083,37824,39327,40643,41779,43284,44577,46090,47836,49378
Rajasthan,India,27.391277,73.432617,3,4,4,4,7,9,17,24,28,32,32,38,40,50,54,59,79,93,120,133,179,206,266,301,343,383,463,561,700,804,897,1005,1076,1131,1229,1351,1478,1576,1735,1888,1964,2034,2083,2185,2262,2364,2440,2584,2666,2772,2886,3061,3158,3317,3427,3579,3708,3814,3988,4126,4328,4534,4747,4960,5202,5507,5845,6015,6227,6494,6742,7028,7300,7536,7816,8067,8365,8617,8831,9100,9373,9652,9862,10084,10337,10599,10876,11245,11600,11838,12068,12401,12694,12981,13216,13542,13857,14156,14537,14930,15232,15627,16009,16296,16660,16944,17271,17660,18008,18312,18662,19052,19532,20164,20688,21404,22063,22563,23174,23748,24392,24936,25571,26437,27174,27789,28500,29434,30390,31373,32334,33220,34178,35298,36430,37564,38636,39780,40936,42083,43243,44410,45555,46679,47845,48996,50157,51328,52497,53670,54887,56100,57414,58692,59979,61296,62630,63977,65289,66619,67954,69264,70609,71955,73325,74670,76015,77370
