,date,India_Andaman and Nicobar Islands,India_Andhra Pradesh,India_Arunachal Pradesh,India_Assam,India_Bihar,India_Chandigarh,India_Chattisgarh,India_Dadra and Nagar Haveli,India_Daman and Diu,India_Delhi,India_Goa,India_Gujarat,India_Haryana,India_Himachal Pradesh,India_Jammu and Kashmir,India_Jharkhand,India_Karnataka,India_Kerala,India_Ladakh,India_Lakshadweep,India_Madhya Pradesh,India_Maharashtra,India_Manipur,India_Meghalaya,India_Mizoram,India_Nagaland,India_Odisha,India_Puducherry,India_Punjab,India_Rajasthan,India_Sikkim,India_Tamil Nadu,India_Telangana,India_Tripura,India_Uttar Pradesh,India_Uttarakhand,India_West Bengal
0,2020-03-14,0,1,0,0,0,0,0,0,0,7,0,0,14,0,2,0,6,19,0,0,0,14,0,0,0,0,0,0,1,3,0,1,1,0,12,0,0
1,2020-03-15,0,1,0,0,0,0,0,0,0,7,0,0,14,0,2,0,6,24,0,0,0,32,0,0,0,0,0,0,1,4,0,1,3,0,13,0,0
2,2020-03-16,0,1,0,0,0,0,0,0,0,7,0,0,14,0,3,0,7,27,0,0,0,38,0,0,0,0,1,1,1,4,0,1,4,0,13,1,0
3,2020-03-17,0,1,0,0,0,0,0,0,0,8,0,0,15,0,3,0,9,27,0,0,0,41,0,0,0,0,1,1,1,4,0,1,5,0,15,1,1
4,2020-03-18,0,1,0,0,0,0,0,0,0,10,0,0,16,0,4,0,14,27,8,0,0,44,0,0,0,0,2,1,2,7,0,2,13,0,17,2,1
5,2020-03-19,0,3,0,0,0,1,1,0,0,14,0,2,17,0,4,0,15,28,8,0,0,48,0,0,0,0,2,1,2,9,0,3,16,0,20,3,1
6,2020-03-20,0,3,0,0,0,5,1,0,0,20,0,7,19,2,4,0,15,40,10,0,4,52,0,0,0,0,2,1,3,17,0,3,19,0,24,3,2
7,2020-03-21,0,5,0,0,0,5,1,0,0,27,0,14,21,2,4,0,20,52,13,0,4,64,0,0,0,0,2,1,13,24,0,6,21,0,28,3,4
8,2020-03-22,0,6,0,0,2,6,1,0,0,27,0,18,21,2,4,0,26,67,13,0,6,74,0,0,0,0,2,1,21,28,0,9,27,0,30,3,7
9,2020-03-23,0,7,0,0,3,7,1,0,0,30,0,30,28,3,4,0,33,95,13,0,6,97,0,0,0,0,2,1,23,32,0,12,33,0,32,4,7
10,2020-03-24,0,8,0,0,3,7,1,0,0,30,0,34,30,3,6,0,41,109,13,0,7,107,1,0,0,0,2,1,29,32,0,18,37,0,35,4,9
11,2020-03-25,0,10,0,0,4,7,3,0,0,35,3,38,31,3,11,0,51,118,13,0,15,122,1,0,1,0,2,1,31,38,0,26,41,0,38,5,9
12,2020-03-26,1,11,0,0,7,7,6,0,0,36,3,43,32,3,14,0,55,137,13,0,20,125,1,0,1,0,3,1,33,40,0,29,44,0,42,5,10
13,2020-03-27,6,13,0,0,9,8,6,0,0,40,3,47,33,3,20,0,64,176,13,0,29,156,1,0,1,0,3,1,38,50,0,38,59,0,49,5,15
14,2020-03-28,9,19,0,0,11,8,7,0,0,49,3,55,35,3,33,0,81,182,13,0,39,186,1,0,1,0,3,1,38,54,0,42,67,0,65,6,18
15,2020-03-29,9,21,0,0,15,8,7,0,0,72,5,63,35,3,38,0,83,202,13,0,39,203,1,0,1,0,3,1,38,59,0,50,70,0,72,7,21
16,2020-03-30,10,23,0,0,15,13,8,0,0,97,5,70,36,3,49,0,88,234,13,0,47,220,1,0,1,0,3,1,41,79,0,67,77,0,96,7,22
17,2020-03-31,10,44,0,1,21,15,9,0,0,120,5,74,43,3,55,1,101,241,13,0,66,302,1,0,1,0,4,1,42,93,0,124,97,0,104,7,37
18,2020-04-01,10,111,0,16,24,17,9,0,0,152,5,87,43,3,62,1,110,265,13,0,98,335,1,0,1,0,5,3,46,120,0,234,127,0,117,7,37
19,2020-04-02,10,149,1,16,29,18,9,0,0,293,5,88,49,6,70,2,124,286,13,0,107,423,2,0,1,0,5,5,47,133,0,309,154,0,128,10,53
20,2020-04-03,10,164,1,23,31,18,9,0,0,386,6,95,58,6,75,2,128,295,14,0,154,487,2,0,1,0,20,5,53,179,0,411,229,0,174,16,53
21,2020-04-04,10,192,1,26,32,18,10,0,0,445,7,108,84,13,92,2,144,306,14,0,179,635,2,0,1,0,21,5,65,206,0,485,272,0,234,22,53
22,2020-04-05,10,256,1,26,32,18,10,0,0,503,7,128,90,14,106,3,151,314,14,0,193,747,2,0,1,0,39,5,68,266,0,571,334,0,278,26,80
23,2020-04-06,10,303,1,26,32,18,10,0,0,525,7,146,110,18,109,4,163,327,14,0,256,868,2,0,1,0,40,5,79,301,0,621,364,1,305,31,80
24,2020-04-07,10,314,1,28,38,18,10,0,0,576,7,175,143,27,125,4,175,336,14,0,290,1018,2,0,1,0,42,5,99,343,0,690,404,1,332,31,91
25,2020-04-08,11,348,1,28,39,18,10,0,0,669,7,186,167,27,158,4,181,345,14,0,341,1135,2,0,1,0,42,5,106,383,0,738,453,1,361,35,99
26,2020-04-09,11,363,1,29,58,18,18,0,0,720,7,262,170,28,184,13,197,357,14,0,411,1364,2,0,1,0,48,5,130,463,0,834,471,1,410,35,103
27,2020-04-10,11,381,1,29,60,19,18,0,0,903,7,378,176,28,207,14,207,364,15,0,451,1574,2,0,1,0,50,7,151,561,0,911,487,2,433,35,116
28,2020-04-11,11,405,1,29,64,19,25,0,0,1069,7,468,179,32,224,17,215,374,15,0,529,1761,2,0,1,0,54,7,158,700,0,969,503,2,452,35,126
